2024-03-22 17:37:36 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:37:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:37:43 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:37:45 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:37:48 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:38:10 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:39:18 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:39:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:39:35 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:39:57 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:02 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:13 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:21 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:37 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:40:56 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:17 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:19 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:44 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:47 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 17:41:51 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 18:05:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 18:16:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 18:22:16 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:46:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:18 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:20 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:23 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:26 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:30 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:32 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:43 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:48:47 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:49:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:49:50 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:52:20 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:52:21 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:52:33 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:58:23 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 21:59:59 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:01 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:07 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:10 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:33 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:00:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:29:12 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:29:21 INFO  AdvertisementController:40 - Advertisement get
2024-03-22 22:31:57 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:42:09 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:43:53 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:02 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:08 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:09 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:12 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:24 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:32 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:37 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 00:44:45 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:25:12 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:25:30 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:25:44 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:26:24 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:26:26 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:26:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:26:32 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:27:25 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:27:26 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:27:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:27:30 INFO  AdvertisementController:40 - Advertisement get
